,Location,Best Time of Day to Visit,Best Season to Visit,Location Type,Description,Google Maps Link,Five Star
10,"Carver Museum, Austin, Texas",morning,summer,museum,It's very big on African American heritage and culture. We've learned a lot from the Carver library people. They have shows and you can watch movies there about African American culture.,"https://www.google.com/maps/place/George+Washington+Carver+Museum/@30.2700396,-97.7261965,17z/data=!3m1!4b1!4m5!3m4!1s0x8644b4e8af347b4b:0x706ae40b8038434c!8m2!3d30.2700231!4d-97.7240869",4.6
11,"Samurai Collection, Dallas, Texas",morning,summer,museum,"The location is hidden upstairs and very safe place. The staff is amazing, they even look after the pets. The cultural experience is hands down one of the best I have ever experienced.","https://www.google.com/maps/place/The+Samurai+Collection/@32.7918595,-96.8087571,17z/data=!3m1!4b1!4m5!3m4!1s0x864e993a65cb3e53:0xdd8dc96375f3a9f3!8m2!3d32.7918595!4d-96.8065684",4.643
12,"Puerto Vallarta Grill, El Paso, Texas",anytime,summer,food,"Great service, good food at a fair price.","https://www.google.com/maps/place/Puerto+Vallarta+Grill/@31.7735265,-106.479572,17z/data=!3m1!4b1!4m5!3m4!1s0x86e759a8b17328bf:0xaf90573df904bf71!8m2!3d31.773481!4d-106.4773478",4.688
13,"San Antonio River Walk, Texas, Texas",afternoon,any season,waterfront,It is an amazing environment with favorable temperatures.,"https://www.google.com/maps/dir/-0.5378771,37.456192/San+Antonio+River+Walk/@0.9177318,-116.9503282,3z/",5
14,"Passport to Edan, Dallas, Texas",morning,spring,other,"A small garden with unique statues that you wouldn't normally see.  Cute little gazebos can be found throught the park area.  Some say it reminds them of Games of Thrones,",,5
15,"Reunion Tower, Dallas, Texas",evening,any season,food,"Not a lot of people know about the tower or even that there is a restaurant at the very top that slowly turns while you eat, giving you a view of the city.","https://www.google.com/maps/place/Reunion+Tower,+Dallas,+TX+75207/@32.7753462,-96.8111389,17z/data=!3m1!4b1!4m5!3m4!1s0x864e9913fa71418b:0x64f0e3e86a68d7f!8m2!3d32.7753462!4d-96.8089502",5
16,"Airfield Falls, Weatherford, Texas",afternoon,spring,waterfront,"After a walk of less than 10 minutes, visitors are treated to a beautiful, if small, waterfall with ample nearby seating and access to a major trail system.","https://www.google.com/maps/place/Airfield+Falls/@32.7652992,-97.4198907,17z/data=!3m1!4b1!4m5!3m4!1s0x864e7346ed55df9d:0x4960dce321a47fe5!8m2!3d32.7652947!4d-97.417702",5
17,"Little Gretel Restaurant, Texas, Texas",afternoon,summer,food,"Is a restaurant a must visit because they have the best meal of any choice you make and their customer service is top notch,They are very diligent in whatever they are doing with a good welcome greeting from the attendant,They have a conducive environment which you can chill after your meal","https://www.google.com/maps/place/Little+Gretel+Restaurant/@29.7897669,-98.7265295,17z/data=!3m1!4b1!4m5!3m4!1s0x865c76c87533b153:0xd53a13c1387086b6!8m2!3d29.7897621!4d-98.7243459",5
18,"McKinney Falls State Park, Austin, Texas",afternoon,spring,natural,An overlooked jaunt into nature practically in the midst of the urban core.,"https://www.google.com/maps/place/McKinney+Falls+State+Park/@30.1836487,-97.7221944,15z/data=!4m12!1m6!3m5!1s0x0:0xfb83098f6001c693!2sMcKinney+Falls+State+Park!8m2!3d30.1836487!4d-97.7221944!3m4!1s0x8644b3be3538b38b:0xfb83098f6001c693!8m2!3d30.1836487!4d-97.7221944",5
19,"The Waterwall, Houston, Texas",evening,summer,other,You get to see an awesome view of the waterwall. You can go and shop and hang out and take pictures. It is very cute.,"https://www.google.com/maps/place/Gerald+D.+Hines+Waterwall+Park/@29.736342,-95.461322,15z/data=!4m2!3m1!1s0x0:0xf43e0b60ae539ac9?sa=X&ved=2ahUKEwiSnK3vl7DwAhXFWc0KHXc2DLkQ_BIwFHoECB4QBQ",5
20,"Japanese Garden, Houston, Texas",morning,summer,natural,"Free and relaxing spot, that brings good vibes and memories!",https://www.google.com/maps?q=japanese+garden+houston&rlz=1C1NHXL_enUS733US745&um=1&ie=UTF-8&sa=X&ved=2ahUKEwjUzMaFz7LwAhVQvJ4KHftPA5kQ_AUoAnoECAEQBA,5
21,"Dallas Arboretum and Botanical Garden, Dallas, Texas",evening,summer,natural,"It taught me to enjoy the nature. I think the biggest benefit of getting outside is to enjoy the diversity and beauty found in the Dallas arboretum and botanical garden natural environments. Personally I feel thankful for the beautiful Dallas arboretum and botanical garden. Strolling through the Dallas arboretum and botanical garden cultivates curiosity and acute observation, which is a life-long pursuit","https://maps.google.com/maps/ms?msa=0&msid=207075320854772039830.0004c3d0248f071e8d331&hl=en&ie=UTF8&t=m&ll=32.823607,-96.716616&spn=0.003156,0.00456&z=17&output=embed",5
22,"Chamizal National Memorial, El Paso, Texas",anytime,any season,historical,It is a beautiful park with very nice hiking trails and a lot of historical interest.,"https://www.google.com/maps/place/Chamizal+National+Memorial+-+Park+Grounds/@31.7671438,-106.4564053,17z/data=!3m1!4b1!4m5!3m4!1s0x86e7597718060a57:0x2b97589386ba4c41!8m2!3d31.7671438!4d-106.4542166",5
23,"Mount Bonnell, Texas, Texas",afternoon,summer,historical,"Mount Bonnell, also known as Covert Park, is a prominent point alongside the Lake Austin portion of the Colorado River in Austin, Texas. It has been a popular tourist destination since the 1850s. The mount provides a vista for viewing the city of Austin, Lake Austin, and the surrounding hills.",,5
24,"Winspear Opera House, Dallas, Texas",afternoon,spring,other,"You can purchase drinks or snacks, including water, coffee, juices, and popcorn. Underground parking available as well as paid parking lots nearby. Lovely place, great selection of venues and excellent service.",https://www.google.com/maps?q=WINSPEAR+OPERA+HOUSE&um=1&ie=UTF-8&sa=X&ved=2ahUKEwjF44r25bDwAhWKK80KHaPDDcYQ_AUoAnoECAEQBA,5
